Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
1993.0,1.0,1.0,0.0,1993.0,1.0,1.0,6.0,0,,0.5,0.5,,,,,,900,,,,,,-18.9,0.7199,0,,1035.7,1001.7,1,-15,16,,,,,,,,,,,,,0,,,310,,5.7
1993.0,1.0,1.0,1.0,1993.0,1.0,1.0,7.0,0,,0.25,0.25,,,,,,870,,,,,,-19.4,0.7249,0,1033.9,1036,1002,,-15.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,320,,5.2
1993.0,1.0,1.0,2.0,1993.0,1.0,1.0,8.0,0,,0.6,0.6,,,,,,510,,,,,,-19.4,0.7249,0,1034.2,1036.4,1002.4,,-15.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,300,,5.2
1993.0,1.0,1.0,3.0,1993.0,1.0,1.0,9.0,0,570,0.9,0.9,,,,,,570,,,,,,-19.4,0.7249,0,1034.2,1036.4,1002.4,,-15.6,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,310,,4.6
1993.0,1.0,1.0,4.0,1993.0,1.0,1.0,10.0,0,,0,0,,,,,,,,,,,,-20,0.7546,0,1033.9,1036.1,1002,,-16.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,320,,4.6
1993.0,1.0,1.0,5.0,1993.0,1.0,1.0,11.0,0,,0,0,,,,,,,,,,,,-20.6,0.7163,0,1034.2,1036.5,1002.4,,-16.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,310,,3.6
1993.0,1.0,1.0,6.0,1993.0,1.0,1.0,12.0,0,,0,0,,,,,,,,,,,,-20.6,0.7163,0,,1037.5,1003.4,1,-16.7,16,,,,,,,,,,,,,0,,,300,,4.6
1993.0,1.0,1.0,7.0,1993.0,1.0,1.0,13.0,0,,0,0,,,,,,,,,,,,-20.6,0.7163,0,1036.6,1039,1004.7,,-16.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,300,,3.6
1993.0,1.0,1.0,8.0,1993.0,1.0,1.0,14.0,0,,0,0,,,,,,,,,,,,-20.6,0.7163,0,1037.9,1040.2,1005.9,,-16.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,290,,5.7
1993.0,1.0,1.0,9.0,1993.0,1.0,1.0,15.0,0,,0,0,,,,,,,,,,,,-20.6,0.6811,0,1038.6,1040.9,1006.6,,-16.1,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,310,,5.7
1993.0,1.0,1.0,10.0,1993.0,1.0,1.0,16.0,0,,0,0,,,,,,,,,,,,-20,0.6232,0,1038.9,1041.2,1006.9,,-14.4,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,310,,5.2
1993.0,1.0,1.0,11.0,1993.0,1.0,1.0,17.0,0,,0,0,,,,,,,,,,,,-19.4,0.5998,0,1038.3,1040.5,1006.3,,-13.3,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,310,,4.1
1993.0,1.0,1.0,12.0,1993.0,1.0,1.0,18.0,0,,0,0,,,,,,,,,,,,-18.3,0.579,0,1037.3,1039.6,1005.4,1,-11.7,16,,,,,,,,,,,,,0,,,320,,3.6
1993.0,1.0,1.0,13.0,1993.0,1.0,1.0,19.0,0,,0,0,,,,,,,,,,,,-17.8,0.6042,0,1036.2,1038.6,1004.4,,-11.7,16,900,cloud development not observed or not observable,,,,,,,,,,,0,900,cloud development not observed or not observable,340,,4.6
