Year Local,Month Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / Mean Daily High,Dew Point C / Mean Daily Low,Humidity Fraction / Mean Daily High,Humidity Fraction / Mean Daily Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count Per Day,Weather Codes / Drizzle Count Per Day,Weather Codes / Rain Slight Count Per Day,Weather Codes / Rain Moderate Count Per Day,Weather Codes / Rain Heavy Count Per Day,Weather Codes / Snow Slight Count Per Day,Weather Codes / Snow Moderate Count Per Day,Weather Codes / Snow Heavy Count Per Day,Weather Codes / Thunderstorm Count Per Day,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / Mean Daily High,Temperature C / Mean Daily Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,4127.3,0,0.24,0.24,0.41,0.06,0.04,0.45,20.7,17.5,0.894,0.667,0.785,0.24,175.4,2.4,0,1.4,0.4,0,0,0,0,0.6,0,1018.3,,26,21.2,15.2,85.4,24.1,7.968,3.158,5.5
1993.0,2.0,4401.9,0,0.32,0.27,0.32,0.05,0.04,0.32,18.1,13.3,0.848,0.581,0.719,0.01,8.4,0.6,0,0.2,0.1,0,0,0,0,0.3,0,1017.7,,23.9,18.8,15.7,49.3,15.4,8.004,2.807,5.5
1993.0,3.0,3516.1,0,0.28,0.21,0.4,0.07,0.04,0.38,19.3,15,0.881,0.623,0.75,0.02,11.7,0.7,0,0.3,0.2,0,0,0,0,0.2,0,1017.4,,24.9,19.3,15.4,71.4,21.6,7.597,2.623,5.2
1993.0,4.0,4830,0,0.29,0.28,0.31,0.07,0.05,0.45,19.4,14.8,0.82,0.566,0.687,0.05,37.3,0.8,0,0.5,0,0,0,0,0,0.3,0,1015.5,,26.3,20.8,15.5,68.5,22.1,8.25,3.24,5.8
1993.0,5.0,4547.8,0,0.18,0.33,0.41,0.05,0.03,0.32,21.5,18.9,0.821,0.619,0.715,0.09,69.6,1.2,0,0.9,0.2,0,0,0,0,0.1,0,1014.5,0,28.3,23.9,15.3,105.4,13.8,7.5,3.106,5.2
1993.0,6.0,5599.2,0,0.11,0.3,0.51,0.06,0.02,0.5,24.3,22.3,0.829,0.639,0.735,0.05,33.7,0.3,0,0.1,0.1,0,0,0,0,0.1,0,1016.4,,31,26.5,15.2,121.8,16.9,6.47,1.493,3.9
1993.0,7.0,6177.8,0,0.06,0.32,0.51,0.09,0.02,0.5,24.5,22.3,0.809,0.59,0.698,0.02,11.2,1.3,0,0.3,0,0,0,0,0,1,0,1017.8,,32.4,27.3,15.6,143.6,13.3,5.781,1.952,3.8
1993.0,8.0,5909.9,0,0.12,0.4,0.39,0.06,0.03,0.5,24.5,21.9,0.832,0.585,0.703,0.08,60.5,2.3,0,0.7,0.3,0,0,0,0,1.4,0,1017.1,,32.4,26.8,14.4,135.6,12.8,6.426,1.7,3.9
1993.0,9.0,4969.9,0,0.04,0.22,0.59,0.11,0.04,0.5,24.7,22.2,0.849,0.63,0.736,0.2,146.8,2.9,0,0.6,0.3,0,0,0,0,2,10,1016,,31.3,26.4,15.5,106.4,18.5,7.337,2.457,4.6
1993.0,10.0,4886,0,0.08,0.27,0.54,0.08,0.04,0.5,24.5,21.9,0.921,0.673,0.798,0.19,143.7,3.2,0,2.1,0.5,0,0,0,0,0.7,2,1014.9,0,30,24.6,14.9,83.8,20.5,6.635,1.51,4.1
1993.0,11.0,3990.3,0,0.27,0.3,0.35,0.05,0.03,0.32,22,19.2,0.886,0.673,0.787,0.01,5.3,0.5,0,0.4,0.1,0,0,0,0,0,0,1017.3,,27.1,22.9,15.6,45.8,13.8,7.213,3.083,5.3
1993.0,12.0,3171.1,0,0.37,0.24,0.31,0.06,0.02,0.25,19.1,13.9,0.877,0.622,0.752,0.08,56.5,0.6,0,0.5,0.1,0,0,0,0,0.1,0,1018.1,,24.3,18.7,15.8,29.4,15.9,8.065,3.029,5.4
1994.0,1.0,2636.9,0,0.25,0.24,0.36,0.07,0.08,0.45,19.1,15.2,0.903,0.677,0.799,0.08,59.1,1.8,0,1.5,0.3,0,0,0,0,0,0,1019.9,,23.7,18.8,14.8,57.8,16.9,8.01,3.594,5.7
1994.0,2.0,2671,0,0.3,0.25,0.35,0.06,0.04,0.43,21.1,18.2,0.917,0.688,0.812,0.09,57.8,1.9,0,1.7,0.3,0,0,0,0,0,0,1018.9,,26,21.1,14.9,73.6,15.4,7.464,3.282,5.3
1994.0,3.0,4742.6,0,0.31,0.31,0.31,0.04,0.03,0.25,20.5,16.3,0.886,0.6,0.744,0.01,9.4,0.3,0,0.2,0.1,0,0,0,0,0,0,1016.9,,26.6,20.5,14.9,64.5,15.9,7.423,2.706,5.1
1994.0,4.0,5245.3,0,0.18,0.3,0.43,0.06,0.03,0.5,22,19.7,0.856,0.629,0.74,0.09,62.3,1,0,0.7,0.1,0,0,0,0,0.2,0,1017.5,,28.6,23.7,15.3,95.3,15.4,7.057,3.18,5.1
1994.0,5.0,4666.1,0,0.13,0.29,0.48,0.08,0.03,0.5,23.1,20.3,0.848,0.592,0.716,0.08,59.7,0.7,0,0.4,0.1,0,0,0,0,0.2,0,1014.6,,30.1,24.9,15,72.1,16.4,6.661,1.913,4.2
1994.0,6.0,4430.6,0,0.1,0.23,0.51,0.1,0.06,0.5,25,22.5,0.827,0.615,0.727,0.01,8.5,1.2,0,0.3,0.2,0,0,0,0,0.7,0,1017,,32.1,27.1,14.9,120.5,12.3,6.36,2.377,4.2
1994.0,7.0,5655.2,0,0.02,0.34,0.52,0.09,0.02,0.5,24.3,22,0.821,0.618,0.717,0.04,26.5,1.7,0,0.6,0.1,0,0,0,0,1,0,1018.6,,31.5,26.9,15.2,120.8,16.4,7.248,2.91,4.9
1994.0,8.0,4252.7,0,0.03,0.28,0.54,0.08,0.06,0.5,24.8,22.5,0.868,0.634,0.75,0.28,206.7,3.8,0,1.8,0.3,0,0,0,0,1.7,10,1017.3,,31.2,26.1,15.3,113.4,15.4,6.226,1.748,4
1994.0,9.0,4429.7,0,0.03,0.22,0.52,0.1,0.13,0.5,24.8,22.6,0.889,0.679,0.781,0.41,295.7,4.2,0,2.2,0.8,0.1,0,0,0,1.1,2,1015.5,,30.4,25.8,14.8,110.3,19,7.073,1.657,3.9
1994.0,10.0,3223.9,0,0.19,0.32,0.41,0.06,0.02,0.45,23.6,21,0.903,0.65,0.774,0.19,144.8,1.3,0,0.5,0.3,0,0,0,0,0.5,0,1014.1,,29.6,24.3,15.3,99.7,13.8,6.313,1.694,3.8
1994.0,11.0,3020.7,0,0.22,0.32,0.38,0.06,0.02,0.4,22.7,20,0.904,0.68,0.798,0.05,33.8,1.6,0,1.4,0.2,0,0,0,0,0,0,1015.4,,27.7,23.3,15.1,49.5,19.5,7.407,2.907,5.2
1994.0,12.0,2289.5,0,0.21,0.33,0.37,0.05,0.04,0.4,20.4,17.2,0.902,0.661,0.777,0.15,108.3,1.6,0,0.9,0.6,0,0,0,0,0.1,0,1017.1,,25.3,20.9,15.3,33.7,21.6,7.384,2.748,5.1
