Year Local,Month Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / Mean Daily High,Dew Point C / Mean Daily Low,Humidity Fraction / Mean Daily High,Humidity Fraction / Mean Daily Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count Per Day,Weather Codes / Drizzle Count Per Day,Weather Codes / Rain Slight Count Per Day,Weather Codes / Rain Moderate Count Per Day,Weather Codes / Rain Heavy Count Per Day,Weather Codes / Snow Slight Count Per Day,Weather Codes / Snow Moderate Count Per Day,Weather Codes / Snow Heavy Count Per Day,Weather Codes / Thunderstorm Count Per Day,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / Mean Daily High,Temperature C / Mean Daily Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,2522.1,0,0.27,0.25,0.36,0.03,0.09,0.45,8.4,2.9,0.94,0.605,0.8,0.38,279.1,5.4,0.1,4,1.2,0.1,0,0,0,0,2,1015.6,,13,6.1,23.9,137.4,20.5,8.503,0.916,4
1993.0,2.0,2448.4,0,0.15,0.28,0.46,0.07,0.04,0.5,9.2,4.3,0.914,0.576,0.77,0.18,120.5,4.5,0.4,3.5,0.6,0,0,0,0,0,2,1014.7,,14.5,8.4,24.2,188.7,21.6,8.386,0.882,4.3
1993.0,3.0,2837.6,0,0.14,0.24,0.45,0.1,0.07,0.5,11.5,7.9,0.923,0.612,0.796,0.08,59.4,2.8,0.4,2.1,0.4,0,0,0,0,0,2,1019.5,,17.5,10.8,21.2,273.4,18,8.726,0.642,4.4
1993.0,4.0,4326.3,0,0.25,0.24,0.36,0.09,0.05,0.5,10.9,6.3,0.908,0.519,0.725,0.01,10.7,1,0.3,0.6,0.1,0,0,0,0,0,0,1019.2,,18.4,10.6,28.7,284.9,18.5,10.387,1.73,5.8
1993.0,5.0,3056.2,0,0.28,0.27,0.32,0.09,0.04,0.45,12.4,8.5,0.884,0.492,0.706,0.02,14.4,1.5,0.5,0.9,0.1,0,0,0,0,0,0,1014.9,,21,12.4,32,250.6,20,10.545,2.177,5.8
1993.0,6.0,3404.1,0,0.6,0.15,0.17,0.06,0.01,0,12.3,8.2,0.846,0.442,0.651,0.01,4.3,0.6,0.2,0.5,0,0,0,0,0,0,0,1013.6,,23.2,13,28.5,292.8,20,11.85,2.843,7
1993.0,7.0,1201.7,0,0.64,0.12,0.15,0.04,0.06,0,13.2,10.2,0.877,0.5,0.708,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1013.6,,23,13.1,22,298.1,21.6,10.629,1.423,5.6
1993.0,8.0,2111.5,0,0.41,0.11,0.27,0.09,0.13,0.4,14.3,10.9,0.869,0.489,0.705,0,0,0.9,0.9,0,0,0,0,0,0,0,0,1013.8,,24.4,14.6,26,285.2,16.9,10.087,2.065,5.5
1993.0,9.0,1683.6,0,0.52,0.12,0.23,0.05,0.08,0.1,13.1,9.8,0.915,0.53,0.756,0,0,0.8,0.8,0,0,0,0,0,0,0,0,1014.8,,21.7,12.4,20.1,294.7,16.4,10.263,1.837,5.7
1993.0,10.0,3162.9,0,0.38,0.12,0.33,0.06,0.11,0.5,13.2,8.5,0.906,0.504,0.729,0.02,11.6,1.2,0.5,0.6,0.1,0,0,0,0,0.1,0,1016.5,,21.9,12.8,22,286.8,12.8,7.923,0.729,3.8
1993.0,11.0,4604.6,0,0.45,0.19,0.23,0.04,0.08,0.25,9.1,1.2,0.863,0.4,0.641,0.05,38.5,1.8,0.1,1.6,0.1,0,0,0,0,0,0,1019,,18,9,24.9,246.4,20,7.64,0.713,3.7
1993.0,12.0,2891.2,0,0.27,0.22,0.38,0.06,0.07,0.5,8.2,4,0.931,0.602,0.788,0.08,56.6,1.9,0.4,1.2,0.3,0,0,0,0,0,0,1021.2,,13.4,6.7,20.6,144,15.9,6.645,0.561,3.5
1994.0,1.0,3593.5,0,0.39,0.18,0.31,0.07,0.06,0.38,8.7,4,0.95,0.562,0.785,0.09,64.7,1.6,0.3,1,0.3,0,0,0,0,0.1,0,1022,,14.5,7.2,18.6,62.1,13.3,5.765,0.368,2.8
1994.0,2.0,2916.6,0,0.21,0.26,0.42,0.07,0.04,0.5,8.6,4.3,0.949,0.618,0.804,0.2,133.4,4.3,0.5,2.9,0.9,0,0,0,0,0,2,1017.8,,13.6,6.9,24.4,243,20,7.15,0.704,3.7
1994.0,3.0,3435.9,0,0.22,0.24,0.36,0.09,0.08,0.5,10.5,4.9,0.948,0.518,0.761,0.01,6.4,1,0.3,0.7,0,0,0,0,0,0,0,1018.6,,17.5,9,30.1,297.8,14.4,9.145,0.565,4.5
1994.0,4.0,3041.8,0,0.23,0.28,0.29,0.12,0.09,0.47,10.5,7.2,0.937,0.568,0.786,0.04,28.6,1.3,0.2,0.8,0.3,0,0,0,0,0,0,1017.5,,17.6,9.8,26.4,289,22.1,10.677,2.09,6
1994.0,5.0,2081.6,0,0.23,0.2,0.38,0.1,0.09,0.5,11,8.1,0.901,0.573,0.762,0.05,38.9,1.2,0.2,0.9,0.2,0,0,0,0,0,0,1015.7,0,18,11.2,25.7,280.3,20,10.465,2.865,6.4
1994.0,6.0,2506.4,0,0.5,0.2,0.23,0.05,0.02,0.25,11.3,8.3,0.894,0.482,0.706,0,0.8,0.4,0.3,0.1,0,0,0,0,0,0,0,1016,,21,11.5,31.2,302.6,19.5,12.143,2.783,7
