Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,1.0,6600,0,0.08,0.08,0.67,0.17,0,0.5,21.1,19.4,0.907,0.763,0.861,0,0,0,0,0,0,0,0,0,0,0,0,1017.1,,25.6,22.2,15.2,31.7,,6.7,3.6,5
1993.0,1.0,2.0,285,0,0.21,0.21,0.5,0.08,0,0.5,21.7,20,0.935,0.673,0.831,0.01,0.3,0,0,0,0,0,0,0,0,0,0,1018.1,,27.2,22.8,15.9,57.6,11.8,8.8,3.6,6.4
1993.0,1.0,3.0,1000,0,0.04,0.5,0.46,0,0,0.4,22.2,20.6,0.935,0.768,0.862,0.28,6.8,9,0,6,3,0,0,0,0,0,2,1019,,26.1,22.8,15.5,72.9,11.8,7.7,5.2,6.9
1993.0,1.0,4.0,4950,0,0.04,0.46,0.46,0.04,0,0.45,22.8,21.1,0.936,0.764,0.841,0.03,0.8,1,0,1,0,0,0,0,0,0,0,1018.8,,26.7,22.8,15.8,118,,8.8,3.1,6
1993.0,1.0,5.0,5500,0,0,0.04,0.79,0.17,0,0.5,23.3,22.2,0.97,0.722,0.857,0.01,0.3,2,0,2,0,0,0,0,0,0,0,1019.1,,28.3,23.3,15.8,154.7,,5.7,0,3.3
1993.0,1.0,6.0,,0,0.38,0.13,0.5,0,0,0.38,23.3,21.7,1,0.743,0.877,0,0,0,0,0,0,0,0,0,0,0,0,1019.9,,28.3,22.8,14.3,89.5,,5.2,1.5,3.2
1993.0,1.0,7.0,7500,0,0.08,0.25,0.67,0,0,0.5,23.9,22.2,0.904,0.696,0.817,0,0,2,0,1,0,0,0,0,0,1,0,1017.9,,28.9,24.4,14.7,138.3,,5.2,3.1,4.2
1993.0,1.0,8.0,2550,0,0.38,0.21,0.38,0.04,0,0.25,24.4,22.2,0.908,0.744,0.814,0.05,1.3,4,0,0,0,0,0,0,0,4,0,1014.3,,28.3,24.4,15.6,183.5,12.8,10.3,3.6,6.8
1993.0,1.0,9.0,572.7,0,0,0,0.67,0.13,0.21,0.75,22.8,17.8,0.935,0.787,0.889,2.78,66.7,20,0,12,4,0,0,0,0,4,2,1014.3,,26.1,19.4,9.9,98.8,15.4,12.4,2.6,6.2
1993.0,1.0,10.0,3540,0,0.04,0.17,0.58,0.13,0.08,0.5,23.9,20,0.964,0.744,0.854,0.01,0.3,1,0,1,0,0,0,0,0,0,0,1018.2,,28.9,22.2,15.8,121.3,,5.7,3.1,3.9
1993.0,1.0,11.0,,0,0.21,0.38,0.42,0,0,0.25,23.3,20,0.872,0.693,0.766,0,0,0,0,0,0,0,0,0,0,0,0,1020.5,,27.8,25,16,133.4,,7.7,4.1,5.7
1993.0,1.0,12.0,3975,0,0.04,0.54,0.33,0.08,0,0.32,22.8,21.1,0.876,0.652,0.769,0.08,2,2,0,2,0,0,0,0,0,0,0,1019.9,,28.9,23.9,16,137.9,11.3,7.7,2.6,5.6
1993.0,1.0,13.0,3975,0,0,0.38,0.58,0.04,0,0.5,22.2,20,0.97,0.695,0.827,0.75,18,3,0,1,2,0,0,0,0,0,0,1019.7,,27.8,21.1,15.3,115.5,,6.2,0,3.5
1993.0,1.0,14.0,,0,0.25,0.29,0.46,0,0,0.4,22.8,21.1,0.97,0.741,0.885,0,0,0,0,0,0,0,0,0,0,0,0,1018.9,,26.7,21.7,14.3,62.2,,5.2,0,2.7
1993.0,1.0,15.0,4440,0,0.17,0.25,0.38,0.04,0.17,0.5,22.8,21.1,0.936,0.715,0.851,0,0,1,0,1,0,0,0,0,0,0,0,1015.9,,27.2,22.8,14.2,132.6,9.2,6.7,2.1,4
1993.0,1.0,16.0,2485,0,0.17,0.13,0.5,0.17,0.04,0.5,22.2,15,0.935,0.703,0.787,0.79,19,5,0,3,0,0,0,0,0,2,2,1013.1,,27.2,18.9,15,285.5,13.8,11.3,2.6,6.4
1993.0,1.0,17.0,,0,0.46,0.42,0.13,0,0,0.25,15.6,10.6,0.777,0.529,0.669,0,0,0,0,0,0,0,0,0,0,0,0,1018.9,,21.1,16.1,16,28.1,,6.7,2.1,4.9
1993.0,1.0,18.0,,0,0.71,0.25,0.04,0,0,0,17.8,11.7,0.867,0.617,0.715,0,0,0,0,0,0,0,0,0,0,0,0,1021.8,,23.9,15,16,56.1,,5.7,2.6,4.4
1993.0,1.0,19.0,7500,0,0.29,0.46,0.21,0.04,0,0.25,18.3,16.7,0.872,0.641,0.754,0,0,0,0,0,0,0,0,0,0,0,0,1022,,25,20,16,58.7,,7.2,3.6,5.4
1993.0,1.0,20.0,,0,0.54,0.38,0.08,0,0,0.1,19.4,16.1,0.873,0.621,0.728,0,0,0,0,0,0,0,0,0,0,0,0,1022,,25.6,21.1,14.5,74.6,11.3,7.7,4.6,6.5
1993.0,1.0,21.0,,0,0.5,0.33,0.17,0,0,0.18,19.4,17.2,0.788,0.641,0.704,0,0,0,0,0,0,0,0,0,0,0,0,1022,,25.6,23.3,15.3,104.2,10.8,8.8,4.6,6.3
1993.0,1.0,22.0,7500,0,0.21,0.13,0.21,0.08,0.38,0.75,20,18.9,0.868,0.666,0.774,0,0,0,0,0,0,0,0,0,0,0,0,1020.7,,26.1,21.7,15.9,81.9,8.7,6.2,3.6,5.2
1993.0,1.0,23.0,7500,0,0.29,0.17,0.42,0.04,0.08,0.5,19.4,17.8,0.868,0.622,0.751,0,0,0,0,0,0,0,0,0,0,0,0,1020,,26.1,21.7,16,76.2,9.7,8.2,3.6,5.3
1993.0,1.0,24.0,5025,0,0.13,0.08,0.63,0.13,0.04,0.75,20.6,16.7,0.794,0.641,0.714,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,,25.6,23.9,16,123.4,11.8,9.8,5.2,6.9
1993.0,1.0,25.0,1803.3,0,0,0.08,0.71,0.17,0.04,0.68,21.7,18.9,0.935,0.76,0.853,1.7,40.8,10,0,4,0,0,0,0,0,6,10,1012.7,,25.6,21.1,13.1,135.4,24.1,9.3,1.5,5.4
1993.0,1.0,26.0,1800,0,0.04,0.17,0.63,0.17,0,0.6,20.6,16.7,0.935,0.692,0.844,0.28,6.6,11,0,7,4,0,0,0,0,0,2,1007.7,,26.1,20.6,15,278.5,17.4,11.8,3.1,6.2
1993.0,1.0,27.0,,0,0.58,0.13,0.29,0,0,0.1,17.2,4.4,0.933,0.372,0.595,0.52,12.5,3,0,1,0,0,0,0,0,2,0,1013.9,,20,17.2,13.7,358.3,17.4,12.9,6.7,9.7
1993.0,1.0,28.0,7500,0,0.54,0.17,0.21,0,0.08,0,15,5,0.757,0.445,0.632,0,0,0,0,0,0,0,0,0,0,0,0,1021,,21.7,16.1,15.9,35.9,11.8,8.2,4.6,6.6
1993.0,1.0,29.0,,0,0.33,0.46,0.21,0,0,0.25,16.7,14.4,0.813,0.554,0.718,0,0,0,0,0,0,0,0,0,0,0,0,1020.9,,23.9,18.9,16,42.1,,8.8,3.6,5.6
1993.0,1.0,30.0,2400,0,0.29,0.21,0.42,0.04,0.04,0.45,17.8,15.6,0.844,0.662,0.747,0,0,0,0,0,0,0,0,0,0,0,0,1021.7,,23.9,19.4,16,42,,7.7,3.6,5.8
1993.0,1.0,31.0,2400,0,0.42,0.17,0.17,0.08,0.17,0.25,17.8,15,0.839,0.622,0.733,0,0,0,0,0,0,0,0,0,0,0,0,1021.2,,24.4,20,16,26.9,,6.7,4.1,5
1993.0,2.0,1.0,,0,0.13,0.54,0.33,0,0,0.25,16.1,11.7,0.813,0.496,0.642,0,0,0,0,0,0,0,0,0,0,0,0,1017.8,,22.8,18.9,16,342.1,,8.2,5.2,6.4
1993.0,2.0,2.0,7500,0,0.5,0.08,0.38,0.04,0,0.18,14.4,6.7,0.678,0.379,0.569,0,0,0,0,0,0,0,0,0,0,0,0,1016.6,,21.7,18.9,16.7,356.8,,7.2,4.1,5.7
1993.0,2.0,3.0,1380,0,0.04,0.08,0.67,0.13,0.08,0.6,15,11.7,0.757,0.53,0.636,0,0,0,0,0,0,0,0,0,0,0,0,1019.6,,21.7,18.3,16,65.1,12.8,9.8,5.2,7.8
1993.0,2.0,4.0,3975,0,0.04,0.25,0.54,0.04,0.13,0.5,16.1,13.9,0.843,0.536,0.688,0,0,0,0,0,0,0,0,0,0,0,0,1019.8,,24.4,18.3,16,67.3,,5.7,4.1,5.1
1993.0,2.0,5.0,2250,0,0.17,0.21,0.54,0,0.08,0.5,18.3,15.6,0.871,0.665,0.795,0,0,1,0,1,0,0,0,0,0,0,0,1017.8,,23.9,18.9,15.8,74.2,,7.2,2.6,5
1993.0,2.0,6.0,3000,0,0.38,0.08,0.46,0.08,0,0.5,20,17.8,0.969,0.666,0.817,0,0,0,0,0,0,0,0,0,0,0,0,1013.6,,26.1,19.4,16,177.2,,5.7,1.5,3.3
1993.0,2.0,7.0,5400,0,0.17,0.21,0.38,0.08,0.17,0.5,19.4,10.6,0.934,0.493,0.686,0,0,2,0,2,0,0,0,0,0,0,0,1013.4,,23.9,19.4,13.6,286.9,10.8,8.2,2.1,5.4
1993.0,2.0,8.0,7500,0,0,0.21,0.46,0.33,0,0.68,16.1,12.2,0.758,0.548,0.643,0,0,0,0,0,0,0,0,0,0,0,0,1016.8,,23.3,18.9,14.6,314.3,,7.2,3.6,5.7
1993.0,2.0,9.0,5800,0,0,0.33,0.54,0.04,0.08,0.5,14.4,12.2,0.805,0.676,0.733,0,0,2,0,1,1,0,0,0,0,0,0,1019.5,,20.6,17.2,15.7,21.7,,6.2,2.6,4.2
1993.0,2.0,10.0,,0,0.29,0.38,0.33,0,0,0.25,20.6,14.4,0.935,0.537,0.824,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,,24.4,18.3,15.2,70.9,,5.2,2.6,3.9
1993.0,2.0,11.0,,0,0.75,0.25,0,0,0,0,22.8,20,0.97,0.717,0.859,0,0,0,0,0,0,0,0,0,0,0,0,1015,,27.8,20.6,16,146.4,,5.7,2.1,3.7
1993.0,2.0,12.0,3320,0,0.29,0.17,0.46,0.08,0,0.5,23.3,16.7,0.936,0.685,0.844,0,0,1,0,1,0,0,0,0,0,0,0,1014.2,,26.7,21.7,16,245.7,9.2,7.7,3.6,5.8
1993.0,2.0,13.0,,0,0.5,0.42,0.08,0,0,0.18,15,12.2,0.726,0.533,0.61,0,0,0,0,0,0,0,0,0,0,0,0,1015.9,,23.3,17.8,16,324.3,10.8,7.7,2.1,5.8
1993.0,2.0,14.0,,0,0.5,0.29,0.21,0,0,0.18,14.4,8.9,0.834,0.507,0.649,0,0,0,0,0,0,0,0,0,0,0,0,1019.5,,20,15,16,12.3,,7.2,2.1,5.2
1993.0,2.0,15.0,,0,0.58,0.21,0.21,0,0,0.05,16.7,12.8,0.808,0.575,0.692,0,0,0,0,0,0,0,0,0,0,0,0,1020.6,,23.9,16.1,16,92.5,11.8,9.8,2.6,6.4
1993.0,2.0,16.0,,0,0.79,0.17,0.04,0,0,0.05,19.4,15.6,0.868,0.62,0.715,0,0,0,0,0,0,0,0,0,0,0,0,1019.6,,26.7,21.1,16,139.5,12.8,10.3,1.5,5.8
1993.0,2.0,17.0,7300,0,0.42,0.29,0.17,0.13,0,0.25,21.1,18.9,0.969,0.624,0.809,0,0,0,0,0,0,0,0,0,0,0,0,1019.4,,26.7,19.4,15.7,195.9,,5.2,1.5,2.8
1993.0,2.0,18.0,2154,0,0.33,0.17,0.38,0.13,0,0.45,21.7,9.4,0.935,0.505,0.736,0,0,0,0,0,0,0,0,0,0,0,0,1018.7,,23.3,17.8,15.5,342,15.4,11.8,0,6.7
1993.0,2.0,19.0,750,0,0.46,0.25,0.25,0.04,0,0.25,11.1,3.3,0.692,0.408,0.579,0,0,0,0,0,0,0,0,0,0,0,0,1021.1,,17.8,14.4,18.3,15.7,12.3,10.3,2.6,6.6
1993.0,2.0,20.0,,0,0.67,0.13,0.21,0,0,0,15.6,9.4,0.81,0.515,0.665,0,0,0,0,0,0,0,0,0,0,0,0,1019.5,,23.9,15.6,16.7,86.7,,6.2,3.1,4.8
1993.0,2.0,21.0,,0,0.33,0.29,0.38,0,0,0.25,19.4,15,0.868,0.601,0.716,0,0,0,0,0,0,0,0,0,0,0,0,1017.4,,26.7,21.7,16,151.3,10.2,7.2,2.1,5.1
1993.0,2.0,22.0,6862.5,0,0.17,0.46,0,0.04,0.33,0.4,22.2,20,0.935,0.741,0.857,0,0,1,0,0,0,0,0,0,0,1,0,1013.9,,27.2,22.2,10.9,178.5,,7.2,1.5,3.9
1993.0,2.0,23.0,570,0,0.04,0.42,0.46,0,0.08,0.5,22.2,16.1,0.935,0.705,0.819,0.35,8.4,8,0,0,0,0,0,0,0,8,10,1014.2,,25,21.1,14.3,329.6,11.3,9.3,2.1,5.6
1993.0,2.0,24.0,,0,0.29,0.42,0.29,0,0,0.25,16.1,12.2,0.787,0.499,0.651,0,0,0,0,0,0,0,0,0,0,0,0,1019.5,,23.9,18.9,16,52.4,13.8,10.3,5.7,7.9
1993.0,2.0,25.0,,0,0.42,0.33,0.25,0,0,0.25,16.1,12.8,0.684,0.556,0.624,0,0,0,0,0,0,0,0,0,0,0,0,1019.8,,23.9,19.4,16,114.1,12.8,10.3,4.6,8.1
1993.0,2.0,26.0,7500,0,0.21,0.42,0.25,0.13,0,0.4,21.7,16.7,0.908,0.707,0.784,0,0,1,0,0,1,0,0,0,0,0,0,1017,,26.1,22.2,16,164.6,12.8,10.3,2.1,5.7
1993.0,2.0,27.0,2070,0,0.13,0.25,0.46,0.13,0.04,0.55,21.7,13.9,0.908,0.635,0.781,0,0,0,0,0,0,0,0,0,0,0,0,1018.5,,23.3,18.9,16,352.5,11.3,9.3,2.6,6
1993.0,2.0,28.0,7500,0,0.29,0.21,0.33,0,0.17,0.45,15,12.2,0.81,0.61,0.72,0,0,0,0,0,0,0,0,0,0,0,0,1020.7,,20.6,16.7,16,24.9,,7.7,3.1,5.3
1993.0,3.0,1.0,7500,0,0.25,0.13,0.21,0.25,0.17,0.68,14.4,5.6,0.78,0.328,0.585,0,0,0,0,0,0,0,0,0,0,0,0,1019.7,,22.8,16.1,16,37.5,9.7,7.2,2.1,4.6
1993.0,3.0,2.0,,0,0.63,0.13,0.25,0,0,0,17.2,12.8,0.87,0.54,0.692,0,0,0,0,0,0,0,0,0,0,0,0,1016.2,,26.1,16.7,16,115.1,9.7,8.2,2.6,5.3
1993.0,3.0,3.0,7500,0,0.04,0.25,0.38,0.21,0.13,0.6,21.7,17.8,0.85,0.692,0.766,0,0,0,0,0,0,0,0,0,0,0,0,1011.5,,27.2,22.2,15,173.3,14.9,10.8,4.6,8
1993.0,3.0,4.0,3450,0,0.46,0.25,0.25,0,0.04,0.25,21.7,13.3,0.935,0.483,0.672,0.13,3,2,0,0,0,0,0,0,0,2,0,1014.8,,25,21.1,16.8,286.1,14.4,8.8,2.6,5.7
1993.0,3.0,5.0,825,0,0.46,0.25,0.21,0.08,0,0.25,16.1,13.3,0.727,0.575,0.646,0,0,0,0,0,0,0,0,0,0,0,0,1018,,25,18.3,16.7,326.7,9.7,7.2,2.6,4.6
1993.0,3.0,6.0,,0,0.58,0.17,0.25,0,0,0,15.6,11.7,0.81,0.531,0.674,0,0,0,0,0,0,0,0,0,0,0,0,1019.4,,23.3,16.7,16,26.8,,5.7,2.1,4.1
1993.0,3.0,7.0,4950,0,0.04,0.13,0.71,0.08,0.04,0.6,18.9,13.3,0.873,0.639,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1019.8,,25,19.4,16,53.4,,6.2,2.6,4.3
1993.0,3.0,8.0,2010,0,0,0.08,0.75,0.08,0.08,0.68,18.3,11.7,0.867,0.514,0.669,0,0,0,0,0,0,0,0,0,0,0,0,1020.7,,22.8,20,16,19.1,,6.7,3.1,5.2
1993.0,3.0,9.0,6750,0,0,0.38,0.54,0,0.08,0.5,14.4,11.7,0.863,0.551,0.645,0,0,0,0,0,0,0,0,0,0,0,0,1021.3,,22.8,16.7,16,29.8,,7.2,2.1,5.2
1993.0,3.0,10.0,,0,0.58,0.21,0.21,0,0,0,17.2,14.4,0.903,0.539,0.72,0,0,0,0,0,0,0,0,0,0,0,0,1020,,25.6,16.7,16,81.9,,4.6,2.1,3.4
1993.0,3.0,11.0,,0,1,0,0,0,0,0,19.4,15.6,0.933,0.621,0.788,0,0,0,0,0,0,0,0,0,0,0,0,1017.8,,26.1,17.2,16,69.3,,5.7,0,3.6
1993.0,3.0,12.0,7500,0,0.46,0.13,0.29,0.13,0,0.25,22.2,17.8,0.876,0.74,0.801,0,0,0,0,0,0,0,0,0,0,0,0,1012.1,,26.7,21.1,15.6,123.5,11.8,9.8,3.6,6.6
1993.0,3.0,13.0,1590,0,0,0.29,0.67,0.04,0,0.5,22.2,6.1,0.934,0.496,0.648,0.08,2,4,0,0,1,0,0,0,0,3,0,1009.8,,25,16.7,11.4,281.1,21.6,15.5,8.8,12.2
