Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,1.0,570,0,0.67,0.21,0.08,0.04,0,0.1,-16.1,-20.6,0.762,0.506,0.667,0,0,0,0,0,0,0,0,0,0,0,0,1035.7,1,-10,-16.7,16,322.9,,5.7,0,3.6
1993.0,1.0,2.0,1581.2,0,0,0.04,0.29,0.17,0.5,0.95,-0.6,-16.7,0.922,0.663,0.782,0.09,2.2,12,5,3,0,0,4,0,0,0,1,1025.2,1.8,0.6,-12.2,10.4,147.5,,7.7,1.5,5.2
1993.0,1.0,3.0,117.9,0,0,0.04,0.42,0.04,0.5,0.95,3.9,-0.6,0.966,0.917,0.944,0.1,2.3,24,23,1,0,0,0,0,0,0,1,1011.2,2.2,5,0.6,2.2,183.6,,6.7,3.1,5
1993.0,1.0,4.0,264.4,0,0,0.17,0.67,0,0.17,0.6,2.2,-6.7,0.958,0.808,0.889,0.22,5.3,19,5,7,0,0,7,0,0,0,2,1012,1,3.3,-4.4,5.1,327.5,,7.2,1.5,4.6
1993.0,1.0,5.0,789.4,0,0,0.04,0.29,0.08,0.58,1,-6.7,-10,0.844,0.603,0.756,0,0,10,0,0,0,0,10,0,0,0,7,1023,1,-2.8,-7.2,14.3,326.9,,6.2,1.5,3.2
1993.0,1.0,6.0,459,0,0.29,0.04,0.25,0.04,0.38,0.6,-8.9,-11.7,0.81,0.546,0.719,0,0,8,0,0,0,0,8,0,0,0,7,1023.3,1,-3.3,-8.3,15.1,264.3,,4.6,2.1,3.1
1993.0,1.0,7.0,4410,0,0.33,0.08,0.29,0.04,0.25,0.6,-10,-13.3,0.839,0.701,0.772,0,0,1,0,0,0,0,1,0,0,0,0,1020.2,1,-6.1,-11.1,11.6,290.4,,4.6,1.5,2.8
1993.0,1.0,8.0,5160,0,0.42,0.13,0.13,0.17,0.17,0.25,-11.7,-16.7,0.838,0.568,0.722,0,0,0,0,0,0,0,0,0,0,0,0,1025.2,1,-5.6,-14.4,15.3,25.4,,5.7,1.5,3.9
1993.0,1.0,9.0,1401.8,0,0,0.08,0.46,0.04,0.42,0.75,-10,-11.7,0.802,0.708,0.76,0,0,10,0,0,0,0,9,1,0,0,7,1031.1,1,-6.1,-8.3,14.8,46.7,10.2,8.8,4.1,7
1993.0,1.0,10.0,1855,0,0.08,0.38,0.38,0.08,0.08,0.5,-10,-13.3,0.834,0.704,0.755,0.03,0.8,13,0,0,0,0,13,0,0,0,7,1032.2,1.8,-5.6,-9.4,13,39.2,10.8,9.3,4.6,6.7
1993.0,1.0,11.0,532.1,0,0,0,0.21,0,0.79,1,-6.1,-12.2,0.846,0.734,0.803,0.05,1.2,24,0,0,0,0,24,0,0,0,7,1029.5,1.8,-3.3,-8.3,11.5,52.3,,7.2,3.1,4.4
1993.0,1.0,12.0,261.7,0,0,0,0.42,0,0.58,1,-1.1,-6.1,0.923,0.841,0.881,0.37,8.8,20,1,0,0,0,16,1,2,0,7,1017.8,5.1,0.6,-3.9,4.5,80.7,,7.7,3.6,4.9
1993.0,1.0,13.0,324.7,0,0.13,0.04,0.21,0,0.63,1,-1.1,-14.4,0.964,0.778,0.862,0.37,8.9,15,0,0,0,0,13,2,0,0,7,1013.4,22,0,-12.2,8.5,1.8,,7.7,0,5.1
1993.0,1.0,14.0,510,0,0,0.17,0.46,0.04,0.33,0.75,-6.7,-16.1,0.955,0.744,0.86,0,0,7,0,0,0,0,7,0,0,0,7,1023.1,21.5,-3.3,-14.4,6.5,250.8,,4.1,0,1.9
1993.0,1.0,15.0,1165,0,0.29,0.08,0.46,0,0.17,0.55,-8.3,-14.4,0.883,0.651,0.8,0,0,8,0,0,0,0,8,0,0,0,7,1020.2,20,-5.6,-12.8,11.3,260.5,,4.6,1.5,3.3
1993.0,1.0,16.0,313.3,0,0.04,0,0.25,0.04,0.67,1,-3.9,-16.1,0.918,0.746,0.847,0,0,8,0,0,0,0,7,1,0,0,7,1011.3,19.5,-2.2,-13.9,6.5,217.6,11.3,8.8,2.1,5.6
1993.0,1.0,17.0,570,0,0.88,0.08,0,0.04,0,0,-7.2,-20.6,0.73,0.465,0.613,0,0,0,0,0,0,0,0,0,0,0,0,1018,17.8,-2.8,-16.1,15.6,314.3,,8.8,0,5.9
1993.0,1.0,18.0,3300,0,0.54,0.21,0.13,0.13,0,0.05,-14.4,-25.6,0.863,0.375,0.686,0,0,0,0,0,0,0,0,0,0,0,0,1031.6,15.8,-5.6,-23.3,15.6,330.2,,4.1,0,1.2
1993.0,1.0,19.0,,0,0.92,0.08,0,0,0,0,-10,-22.8,0.873,0.456,0.717,0,0,0,0,0,0,0,0,0,0,0,0,1036.2,15,-2.2,-20,13.9,18.5,,4.1,0,1.1
1993.0,1.0,20.0,1277.5,0,0.17,0.13,0.29,0,0.42,0.75,0,-20.6,0.924,0.56,0.796,0.08,1.9,8,0,8,0,0,0,0,0,0,2,1026.8,15,1.7,-18.3,9.9,105.2,,7.2,0,4
