Year Local,Month Local,Day Local,Cloud Ceiling (m) / Mean,Cloud Cover Fraction / Fraction Nan,Cloud Cover Fraction / Fraction Clr,Cloud Cover Fraction / Fraction Few,Cloud Cover Fraction / Fraction Sct,Cloud Cover Fraction / Fraction Bkn,Cloud Cover Fraction / Fraction Ovc,Cloud Cover Fraction / Median,Dew Point C / High,Dew Point C / Low,Humidity Fraction / High,Humidity Fraction / Low,Humidity Fraction / Mean,Precipitation One Hour (mm) / Mean,Precipitation One Hour (mm) / Sum,Weather Codes / Precipitation Count,Weather Codes / Drizzle Count,Weather Codes / Rain Slight Count,Weather Codes / Rain Moderate Count,Weather Codes / Rain Heavy Count,Weather Codes / Snow Slight Count,Weather Codes / Snow Moderate Count,Weather Codes / Snow Heavy Count,Weather Codes / Thunderstorm Count,Weather Code Most Severe / Icon Code,Pressure Altimeter (mbar) / Mean,Snow Depth (cm) / Mean,Temperature C / High,Temperature C / Low,Visibility (km) / Mean,Wind Direction (degrees) / Angular Mean,Wind Gust (m/s) / Max,Wind Speed (m/s) / High,Wind Speed (m/s) / Low,Wind Speed (m/s) / Mean
1993.0,1.0,1.0,543.8,0,0.21,0.38,0.42,0,0,0.4,11.7,2.2,0.928,0.612,0.804,1.35,32.4,11,0,7,3,1,0,0,0,0,2,1014.4,,13.3,6.1,25.1,291.7,16.4,11.3,3.6,6.1
1993.0,1.0,2.0,,0,0.96,0.04,0,0,0,0,3.9,-0.6,0.926,0.518,0.746,0,0,0,0,0,0,0,0,0,0,0,0,1019.9,,9.4,2.2,33,312.9,,5.7,0,3.2
1993.0,1.0,3.0,,0,0.79,0.21,0,0,0,0,1.7,-5.6,0.965,0.358,0.67,0,0,0,0,0,0,0,0,0,0,0,0,1023.4,,9.4,2.2,43.9,194.3,,4.6,0,2.3
1993.0,1.0,4.0,6900,0,0.5,0,0.42,0.08,0,0.3,2.8,-1.7,0.884,0.473,0.73,0,0,0,0,0,0,0,0,0,0,0,0,1019.7,,10,0.6,24.9,163.7,,4.1,0,2.3
1993.0,1.0,5.0,1500,0,0,0,0.96,0,0.04,0.6,3.3,0,0.925,0.649,0.828,0.1,2.3,6,0,6,0,0,0,0,0,0,2,1014.1,,7.2,2.8,15.6,102.5,8.2,7.2,0,3.4
1993.0,1.0,6.0,567.5,0,0,0.08,0.63,0,0.29,0.5,8.9,-0.6,1,0.576,0.87,2.35,56.5,23,0,17,5,1,0,0,0,0,2,1005.3,,8.9,5,7.4,85.6,12.8,10.8,2.1,5.2
1993.0,1.0,7.0,967.5,0,0,0.42,0.58,0,0,0.5,12.8,6.1,0.968,0.799,0.874,0.97,23.2,13,1,8,4,0,0,0,0,0,2,1003.6,,13.3,8.9,18,205.3,15.4,10.3,2.1,4.8
1993.0,1.0,8.0,427.5,0,0,0.33,0.63,0.04,0,0.5,8.9,3.9,0.967,0.763,0.877,0.26,6.3,8,0,7,1,0,0,0,0,0,2,1006.9,,12.2,7.2,18.7,220.8,,9.3,0,3.9
1993.0,1.0,9.0,1612.5,0,0.04,0.5,0.33,0.13,0,0.4,7.2,3.3,0.96,0.683,0.866,0.02,0.5,4,0,3,0,0,1,0,0,0,0,1009.2,,10.6,5,29.3,153,12.8,5.2,1.5,3.1
1993.0,1.0,10.0,1590,0,0.25,0.5,0.25,0,0,0.25,7.2,2.2,0.966,0.585,0.859,0.1,2.4,3,0,2,1,0,0,0,0,0,0,1008.4,,10.6,3.3,30.2,277.3,11.3,9.3,1.5,3.3
