Year Local,Month Local,Day Local,Hour Local,Year UTC,Month UTC,Day UTC,Hour UTC,Cavok Reported,Cloud Ceiling (m),Cloud Cover Fraction,Cloud Cover Fraction 1,Cloud Cover Fraction 2,Cloud Cover Fraction 3,Cloud Cover Fraction 4,Cloud Cover Fraction 5,Cloud Cover Fraction 6,Cloud Height (m) 1,Cloud Height (m) 2,Cloud Height (m) 3,Cloud Height (m) 4,Cloud Height (m) 5,Cloud Height (m) 6,Dew Point (C),Humidity Fraction,Precipitation One Hour (mm),Pressure Altimeter (mbar),Pressure Sea Level (mbar),Pressure Station (mbar),Snow Depth (cm),Temperature (C),Visibility (km),Weather Code 1,Weather Code 1/ Description,Weather Code 2,Weather Code 2/ Description,Weather Code 3,Weather Code 3/ Description,Weather Code 4,Weather Code 4/ Description,Weather Code 5,Weather Code 5/ Description,Weather Code 6,Weather Code 6/ Description,Weather Code Most Severe / Icon Code,Weather Code Most Severe,Weather Code Most Severe / Description,Wind Direction (degrees),Wind Gust (m/s),Wind Speed (m/s)
1994.0,1.0,1.0,0.0,1994.0,1.0,1.0,8.0,0,6000,1,0.1,0.25,1,,,,15,4200,6000,,,,7.2,0.9599,0,1023,1023,1022.4,,7.8,4.8,945,fog,,,,,,,,,,,15,945,fog,170,,2.6
1994.0,1.0,1.0,1.0,1994.0,1.0,1.0,9.0,0,6000,1,0.25,0.25,1,,,,15,4200,6000,,,,7.8,0.9281,0,1022.7,1022.9,1022.2,,8.9,3.2,945,fog,,,,,,,,,,,15,945,fog,60,,2.6
1994.0,1.0,1.0,2.0,1994.0,1.0,1.0,10.0,0,6000,1,0.25,1,,,,,15,6000,,,,,6.7,0.9663,0,1023.4,1023.4,1022.7,,7.2,3.2,945,fog,,,,,,,,,,,15,945,fog,130,,2.1
1994.0,1.0,1.0,3.0,1994.0,1.0,1.0,11.0,0,6000,1,0.25,1,1,,,,15,6000,6000,,,,6.7,0.9663,0,1023.7,1023.9,1023.2,,7.2,2.8,945,fog,,,,,,,,,,,15,945,fog,360,,0
1994.0,1.0,1.0,4.0,1994.0,1.0,1.0,12.0,0,30,1,1,,,,,,30,,,,,,7.8,1,0,1024.7,1024.7,1024,,7.8,0.1,945,fog,947,increasing fog,,,,,,,,,15,945,fog,360,,3.1
1994.0,1.0,1.0,5.0,1994.0,1.0,1.0,13.0,0,30,1,1,,,,,,30,,,,,,7.8,1,0,1025.4,1025.4,1024.7,,7.8,0.1,945,fog,,,,,,,,,,,15,945,fog,320,,2.1
1994.0,1.0,1.0,6.0,1994.0,1.0,1.0,14.0,0,30,1,1,,,,,,30,,,,,,7.8,1,0,1025.1,1025.2,1024.6,,7.8,0.2,945,fog,,,,,,,,,,,15,945,fog,70,,1.5
1994.0,1.0,1.0,7.0,1994.0,1.0,1.0,15.0,0,30,1,1,,,,,,30,,,,,,7.8,1,0,1025.4,1025.4,1024.7,,7.8,0.2,945,fog,,,,,,,,,,,15,945,fog,180,,2.1
1994.0,1.0,1.0,8.0,1994.0,1.0,1.0,16.0,0,30,1,1,,,,,,30,,,,,,7.8,1,0,1025.7,1025.7,1025.1,,7.8,0.4,945,fog,,,,,,,,,,,15,945,fog,140,,3.1
1994.0,1.0,1.0,9.0,1994.0,1.0,1.0,17.0,0,60,0.9,0.75,0.9,0.1,0.25,,,15,60,2400,6000,,,7.8,1,0,1025.7,1025.7,1025.1,,7.8,0.8,945,fog,,,,,,,,,,,15,945,fog,110,,2.6
